Week 1,Week 2,Week 3,Week 4,,
ARI at SF,ATL at DAL,CAR at LAC,ARI at CAR,,
CHI at DET,BAL at HOU,CHI at ATL,ATL at GB,,
CLE at BAL,BUF at MIA,CIN at PHI,BAL at WAS,,
DAL at LAR,CAR at TB,DAL at SEA,BUF at LV,,
GB at MIN,CIN at CLE,DET at ARI,CLE at DAL,,
HOU at KC,DEN at PIT,GB at NO,DEN at NYJ,,
IND at JAX,DET at GB,HOU at PIT,IND at CHI,,
LVR at CAR,JAC at TEN,KC at BAL,JAC at CIN,,
LAC at CIN,KC at LAC,LVR at NE,LAC at TB,,
MIA at NE,LAR at PHI,LAR at BUF,MIN at HOU,,
NYJ at BUF,MIN at IND,MIA at JAX,NE at KC,,
PHI at WAS,NE at SEA,NYJ at IND,NO at DET,,
PIT at NYG,NO at LV,SF at NYG,NYG at LAR,,
SEA at ATL,NYG at CHI,TB at DEN,PHI at SF,,
TB at NO,SF at NYJ,TEN at MIN,SEA at MIA,,
TEN at DEN,WAS at ARI,WAS at CLE,BYE TEN PIT,,
